module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
2874,8,5,6,2,203,,0,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000,0.125000,0.375000,0.75000000000000000000,0.63492063492063492063,0.80295566502463054187,FALSE
2875,11,7,8,3,258,0.334271,0,0.090909,0.000000,0.181818,0.000000,0.090909,0.454545,0.000000,0.181818,0.44440000000000000000,0.32407407407407407407,0.62015503875968992248,FALSE
2876,7,2,5,2,11751,0.654114,0,0.142857,0.000000,0.142857,0.000000,0.000000,0.142857,0.142857,0.428571,0.62500000000000000000,0.44444444444444444444,0.66666666666666666667,FALSE
2877,7,2,5,2,9939,0.572728,0,0.142857,0.000000,0.142857,0.000000,0.000000,0.142857,0.142857,0.428571,0.62500000000000000000,0.44444444444444444444,0.66666666666666666667,FALSE
2878,5,0,5,2,0,,0,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.400000,0.62500000000000000000,0.44444444444444444444,0.00000000000000000000,FALSE
2879,5,0,5,2,0,,0,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.400000,0.62500000000000000000,0.44444444444444444444,0.00000000000000000000,FALSE
2880,7,2,5,2,7350,0.380230,0,0.142857,0.000000,0.142857,0.000000,0.000000,0.142857,0.142857,0.428571,0.62500000000000000000,0.44444444444444444444,0.66666666666666666667,FALSE
2881,7,2,5,2,606,0.217217,2312,0.142857,0.000000,0.142857,0.000000,0.000000,0.142857,0.142857,0.428571,0.62500000000000000000,0.44444444444444444444,0.66666666666666666667,FALSE
2882,7,2,5,2,606,0.217217,2312,0.142857,0.000000,0.142857,0.000000,0.000000,0.142857,0.142857,0.428571,0.62500000000000000000,0.44444444444444444444,0.66666666666666666667,FALSE
2883,5,0,5,2,0,,0,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.400000,0.62500000000000000000,0.44444444444444444444,0.00000000000000000000,FALSE
2884,5,0,5,2,0,,0,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.400000,0.62500000000000000000,0.44444444444444444444,0.00000000000000000000,FALSE
2885,18,11,14,3,430,0.994938,0,0.111111,0.000000,0.055556,0.000000,0.000000,0.277778,0.000000,0.555556,0.42110000000000000000,0.44756235827664399093,0.25116279069767441860,FALSE
2886,12,9,9,3,1142,0.628581,0,0.083333,0.083333,0.083333,0.000000,0.000000,0.583333,0.000000,0.166667,0.44440000000000000000,0.52215608465608465608,0.17162872154115586690,FALSE
2887,15,12,5,3,722,0.153406,0,0.066667,0.066667,0.000000,0.000000,0.066667,0.533333,0.133333,0.133333,0.61900000000000000000,0.72222222222222222222,0.17174515235457063712,FALSE
2888,11,10,6,3,4332,0.396821,0,0.090909,0.000000,0.090909,0.090909,0.000000,0.454545,0.090909,0.181818,0.70590000000000000000,0.52380952380952380952,0.18028624192059095106,FALSE
2889,7,4,4,3,20,,0,0.285714,0.000000,0.142857,0.000000,0.000000,0.285714,0.142857,0.142857,0.66670000000000000000,0.50000000000000000000,0.40000000000000000000,FALSE
2890,9,6,6,3,222,0.000000,0,0.222222,0.000000,0.111111,0.000000,0.000000,0.222222,0.222222,0.222222,0.58330000000000000000,0.35833333333333333333,0.32432432432432432432,FALSE
