module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1360,10,2,10,1,224,0.530899,0,0.000000,0.000000,0.100000,0.000000,0.100000,0.000000,0.500000,0.300000,1.00000000000000000000,0.17857142857142857143,0.98660714285714285714,FALSE
1361,29,5,28,1,33,0.799049,71,0.000000,0.000000,0.034483,0.000000,0.068966,0.103448,0.172414,0.620690,1.00000000000000000000,0.22494588744588744589,0.75757575757575757576,FALSE
1362,23,3,22,1,34,0.672295,169,0.000000,0.000000,0.043478,0.000000,0.086957,0.043478,0.173913,0.652174,1.00000000000000000000,0.19673913043478260870,0.82352941176470588235,FALSE
1363,43,8,42,5,84,0.929743,104,0.000000,0.000000,0.023256,0.093023,0.046512,0.069767,0.046512,0.720930,0.77780000000000000000,0.16901236313633443242,0.34523809523809523810,FALSE
1364,28,5,27,2,202,0.580597,24,0.000000,0.000000,0.071429,0.000000,0.071429,0.000000,0.071429,0.785714,0.88890000000000000000,0.18498623832226977463,0.64356435643564356436,FALSE
1365,19,2,19,1,84,0.951887,25,0.000000,0.000000,0.052632,0.000000,0.105263,0.000000,0.210526,0.631579,1.00000000000000000000,0.28279980888676540850,0.79761904761904761905,FALSE
1367,34,7,34,4,1544,0.821010,45,0.000000,0.000000,0.058824,0.058824,0.000000,0.088235,0.117647,0.676471,0.70590000000000000000,0.16678761792616485565,0.71113989637305699482,TRUE
1368,17,4,17,2,1048,0.134633,18,0.000000,0.000000,0.000000,0.117647,0.058824,0.000000,0.294118,0.529412,0.80000000000000000000,0.23305555555555555556,0.96374045801526717557,FALSE
1369,35,10,34,4,114,0.789749,78,0.000000,0.000000,0.028571,0.085714,0.085714,0.000000,0.114286,0.685714,0.82350000000000000000,0.15619395929740757327,0.57017543859649122807,FALSE
1370,26,6,25,5,1906,0.214038,869,0.038462,0.000000,0.038462,0.115385,0.115385,0.000000,0.076923,0.615385,0.80000000000000000000,0.16217390611673733271,0.44753410283315844701,TRUE
