module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
606,29,16,29,14,2740,0.683265,0.103448,0.034483,0.103448,0.103448,0.000000,0.000000,0.000000,0.655172,0.17650000000000000000,0.22784568663322834624,0.28832116788321167883
607,28,14,28,13,1461,0.969573,0.071429,0.071429,0.071429,0.071429,0.000000,0.000000,0.107143,0.607143,0.14810000000000000000,0.15798462874199199585,0.29842573579739904175
608,4,2,4,2,10,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.50000000000000000000,0.33333333333333333333,0.50000000000000000000
609,27,13,27,13,1669,0.578213,0.074074,0.074074,0.037037,0.074074,0.000000,0.074074,0.074074,0.592593,0.17860000000000000000,0.14465627635917490990,0.21569802276812462552
611,15,6,15,7,840,0.998675,0.066667,0.133333,0.266667,0.000000,0.000000,0.000000,0.066667,0.466667,0.23530000000000000000,0.19071428571428571429,0.44047619047619047619
615,17,4,17,4,60,0.210842,0.235294,0.000000,0.000000,0.000000,0.000000,0.000000,0.117647,0.647059,0.40000000000000000000,0.22000000000000000000,0.41666666666666666667
617,6,2,5,2,14,\N,0.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000
618,4,2,4,2,48,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.50000000000000000000,0.30000000000000000000,0.50000000000000000000
619,14,2,14,2,4,\N,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.714286,0.66670000000000000000,0.31451612903225806452,0.50000000000000000000
620,5,2,5,2,86,\N,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.50000000000000000000,0.60000000000000000000,0.50000000000000000000
621,35,14,35,13,524,0.997939,0.057143,0.028571,0.114286,0.057143,0.000000,0.028571,0.057143,0.657143,0.18180000000000000000,0.12822984128036156138,0.25190839694656488550
623,13,6,13,6,58,\N,0.307692,0.153846,0.000000,0.000000,0.000000,0.000000,0.307692,0.230769,0.25000000000000000000,0.28052160555666867027,0.29310344827586206897
624,46,16,46,16,3548,0.698958,0.086957,0.043478,0.000000,0.021739,0.000000,0.000000,0.086957,0.760870,0.16670000000000000000,0.11491393350365307511,0.32525366403607666291
625,29,9,28,10,39,\N,0.172414,0.137931,0.000000,0.034483,0.000000,0.000000,0.103448,0.551724,0.25000000000000000000,0.17718403150733977802,0.17948717948717948718
626,42,13,42,13,201,0.913240,0.119048,0.071429,0.023810,0.000000,0.000000,0.023810,0.023810,0.738095,0.28570000000000000000,0.20340473084561566636,0.25870646766169154229
627,29,15,29,14,449,0.726635,0.137931,0.068966,0.034483,0.103448,0.000000,0.068966,0.034483,0.551724,0.18750000000000000000,0.22228786987643251499,0.17149220489977728285
628,6,4,6,4,66,\N,0.500000,0.000000,0.166667,0.000000,0.000000,0.000000,0.166667,0.166667,0.40000000000000000000,0.30416666666666666667,0.48484848484848484848
629,14,7,14,7,89,0.688432,0.285714,0.214286,0.000000,0.000000,0.000000,0.000000,0.214286,0.285714,0.27270000000000000000,0.21830143540669856459,0.25842696629213483146
630,17,8,17,8,125,0.118350,0.235294,0.058824,0.117647,0.058824,0.000000,0.000000,0.176471,0.352941,0.26670000000000000000,0.14714912280701754386,0.26400000000000000000
631,16,4,15,6,66,\N,0.250000,0.000000,0.062500,0.062500,0.000000,0.000000,0.250000,0.375000,0.28570000000000000000,0.15269230769230769231,0.63636363636363636364
632,31,16,31,16,3038,0.551455,0.129032,0.032258,0.032258,0.000000,0.032258,0.064516,0.032258,0.677419,0.18180000000000000000,0.13001493850999250078,0.19716919025674786043
633,43,16,43,17,5865,0.799164,0.093023,0.000000,0.023256,0.023256,0.000000,0.023256,0.023256,0.813953,0.20480000000000000000,0.17643378929024061923,0.26155157715260017050
636,11,3,11,3,56,\N,0.181818,0.000000,0.000000,0.090909,0.000000,0.000000,0.454545,0.272727,0.60000000000000000000,0.23933747412008281573,0.51785714285714285714
637,30,14,30,13,1549,0.099529,0.133333,0.000000,0.033333,0.066667,0.000000,0.033333,0.033333,0.700000,0.33330000000000000000,0.21432018952929550262,0.28469980632666236281
643,26,13,26,12,1445,0.389582,0.076923,0.038462,0.115385,0.038462,0.000000,0.038462,0.038462,0.653846,0.19230000000000000000,0.18910234593222570921,0.22560553633217993080
644,34,19,34,17,2222,0.537104,0.088235,0.029412,0.088235,0.088235,0.000000,0.000000,0.029412,0.676471,0.16220000000000000000,0.17279337106923313820,0.28577857785778577858
648,26,15,25,15,1280,0.850796,0.076923,0.115385,0.038462,0.038462,0.000000,0.076923,0.153846,0.500000,0.28570000000000000000,0.27139720183198444068,0.21093750000000000000
652,29,9,28,8,934,\N,0.172414,0.000000,0.034483,0.034483,0.000000,0.034483,0.068966,0.655172,0.26090000000000000000,0.14613257232874457755,0.32119914346895074946
653,38,19,37,17,7363,0.182807,0.105263,0.052632,0.000000,0.026316,0.000000,0.026316,0.052632,0.736842,0.15630000000000000000,0.16826111666025562779,0.23794648920277060981
654,23,11,22,11,272,0.980033,0.130435,0.086957,0.043478,0.043478,0.000000,0.043478,0.260870,0.391304,0.19230000000000000000,0.12462121212121212121,0.19485294117647058824
655,21,10,21,10,123,0.726479,0.142857,0.000000,0.095238,0.238095,0.000000,0.000000,0.142857,0.380952,0.22220000000000000000,0.13815789473684210526,0.41463414634146341463
656,33,17,33,14,7955,0.699000,0.121212,0.030303,0.060606,0.000000,0.000000,0.030303,0.060606,0.696970,0.20450000000000000000,0.10740740740740740741,0.22803268384663733501
657,36,12,36,11,4147,0.592915,0.027778,0.055556,0.111111,0.055556,0.000000,0.055556,0.027778,0.666667,0.19350000000000000000,0.18339079320888560011,0.25488304798649626236
658,26,13,26,12,1014,0.706165,0.115385,0.038462,0.115385,0.038462,0.000000,0.038462,0.115385,0.538462,0.16670000000000000000,0.20477681560630869387,0.26528599605522682446
659,20,10,20,10,222,0.898557,0.200000,0.150000,0.100000,0.050000,0.000000,0.000000,0.150000,0.350000,0.20000000000000000000,0.24974764099188062322,0.37837837837837837838
660,28,16,28,15,14004,0.906758,0.142857,0.035714,0.071429,0.035714,0.000000,0.000000,0.071429,0.642857,0.18750000000000000000,0.18488500317922069645,0.25335618394744358755
661,22,13,22,12,559,0.713037,0.136364,0.090909,0.045455,0.045455,0.000000,0.000000,0.181818,0.500000,0.18180000000000000000,0.22334898971995746189,0.29338103756708407871
662,26,12,26,13,1818,0.891361,0.153846,0.038462,0.038462,0.076923,0.038462,0.038462,0.076923,0.538462,0.19230000000000000000,0.21019835704267681827,0.24532453245324532453
663,24,10,24,11,224,0.752906,0.083333,0.083333,0.000000,0.000000,0.000000,0.166667,0.208333,0.458333,0.28570000000000000000,0.18244239631336405530,0.25892857142857142857
664,29,15,29,14,853,0.713085,0.103448,0.068966,0.034483,0.034483,0.000000,0.000000,0.068966,0.689655,0.20000000000000000000,0.21208601306527573809,0.29308323563892145369
665,25,14,25,13,719,0.714960,0.080000,0.080000,0.080000,0.000000,0.000000,0.040000,0.160000,0.560000,0.18180000000000000000,0.19834898971995746189,0.27538247566063977747
666,22,13,22,12,656,0.772199,0.136364,0.090909,0.045455,0.000000,0.000000,0.000000,0.181818,0.545455,0.18180000000000000000,0.22334898971995746189,0.27591463414634146341
667,17,8,17,8,458,0.885803,0.176471,0.000000,0.000000,0.294118,0.000000,0.000000,0.235294,0.294118,0.27270000000000000000,0.23988479262672811060,0.33842794759825327511
668,17,8,17,8,404,0.922749,0.176471,0.000000,0.000000,0.294118,0.000000,0.000000,0.235294,0.294118,0.27270000000000000000,0.23988479262672811060,0.31683168316831683168
669,21,12,21,11,566,0.778178,0.190476,0.095238,0.095238,0.142857,0.000000,0.000000,0.047619,0.428571,0.20000000000000000000,0.23361527958302151851,0.22614840989399293286
670,23,11,23,11,1024,0.827581,0.130435,0.086957,0.086957,0.173913,0.000000,0.000000,0.043478,0.478261,0.26320000000000000000,0.20765639589169000934,0.26953125000000000000
671,12,6,12,6,378,0.631425,0.333333,0.083333,0.000000,0.083333,0.000000,0.000000,0.250000,0.250000,0.37500000000000000000,0.28798185941043083900,0.33068783068783068783
672,23,12,23,11,540,0.890954,0.130435,0.086957,0.173913,0.086957,0.000000,0.000000,0.000000,0.521739,0.20000000000000000000,0.22222697548468873333,0.22592592592592592593
673,12,4,12,5,88,0.998146,0.166667,0.000000,0.166667,0.083333,0.000000,0.000000,0.166667,0.416667,0.42860000000000000000,0.35595238095238095238,0.72727272727272727273
674,12,4,12,5,116,0.880854,0.166667,0.000000,0.166667,0.083333,0.000000,0.000000,0.166667,0.416667,0.42860000000000000000,0.35595238095238095238,0.72413793103448275862
675,23,11,23,11,399,0.845995,0.130435,0.000000,0.086957,0.043478,0.000000,0.086957,0.043478,0.608696,0.22730000000000000000,0.19174603174603174603,0.23057644110275689223
676,23,11,23,11,353,0.885067,0.130435,0.000000,0.086957,0.043478,0.000000,0.086957,0.043478,0.608696,0.22730000000000000000,0.19174603174603174603,0.22946175637393767705
677,24,11,24,12,544,0.911408,0.125000,0.166667,0.125000,0.083333,0.000000,0.000000,0.041667,0.458333,0.17650000000000000000,0.22291666666666666667,0.24632352941176470588
680,18,7,18,6,128,0.356078,0.166667,0.055556,0.055556,0.055556,0.000000,0.000000,0.055556,0.611111,0.28570000000000000000,0.23250692397033860448,0.71093750000000000000
684,12,6,11,6,36,\N,0.333333,0.166667,0.000000,0.000000,0.000000,0.000000,0.166667,0.333333,0.28570000000000000000,0.27758576548899129544,0.27777777777777777778
685,23,11,23,10,5337,0.344539,0.173913,0.130435,0.043478,0.043478,0.000000,0.086957,0.086957,0.434783,0.20000000000000000000,0.17017893217893217893,0.21528948847667228780
686,11,5,11,6,176,0.214510,0.272727,0.090909,0.090909,0.090909,0.000000,0.000000,0.272727,0.181818,0.30000000000000000000,0.20833333333333333333,0.38636363636363636364
687,13,6,13,6,2827,0.967829,0.384615,0.000000,0.000000,0.076923,0.000000,0.000000,0.076923,0.461538,0.33330000000000000000,0.28879706152433425161,0.28369296073576229218
688,21,10,21,10,270,0.552859,0.047619,0.142857,0.190476,0.095238,0.000000,0.000000,0.047619,0.476190,0.21430000000000000000,0.17330542264752791069,0.33333333333333333333
689,8,2,7,3,4,\N,0.250000,0.000000,0.000000,0.125000,0.000000,0.000000,0.250000,0.375000,0.33330000000000000000,0.27272727272727272727,0.50000000000000000000
698,25,15,25,14,1379,0.760964,0.120000,0.040000,0.040000,0.040000,0.000000,0.040000,0.040000,0.680000,0.18520000000000000000,0.17463023088023088023,0.24075416968817984046
699,15,7,15,7,45,0.970951,0.200000,0.266667,0.000000,0.000000,0.000000,0.000000,0.200000,0.333333,0.20000000000000000000,0.30851396711611765375,0.20000000000000000000
703,27,15,27,15,1606,0.648055,0.148148,0.037037,0.037037,0.037037,0.037037,0.037037,0.074074,0.592593,0.21050000000000000000,0.14727724072084974341,0.30012453300124533001
704,20,10,19,10,1037,0.877458,0.100000,0.200000,0.050000,0.150000,0.000000,0.050000,0.100000,0.350000,0.33330000000000000000,0.25603318250377073906,0.21793635486981677917
705,19,10,19,9,50,0.922445,0.157895,0.052632,0.157895,0.105263,0.000000,0.000000,0.000000,0.526316,0.23080000000000000000,0.23420800564629965719,0.34000000000000000000
707,19,12,17,12,687,0.740384,0.157895,0.157895,0.105263,0.210526,0.000000,0.000000,0.157895,0.210526,0.21430000000000000000,0.20975073313782991202,0.26200873362445414847
708,10,5,10,5,234,\N,0.100000,0.100000,0.200000,0.100000,0.000000,0.000000,0.100000,0.400000,0.28570000000000000000,0.34649122807017543860,0.81196581196581196581
709,19,10,19,10,398,0.911449,0.263158,0.157895,0.052632,0.052632,0.000000,0.000000,0.000000,0.473684,0.14290000000000000000,0.23803854875283446712,0.22864321608040201005
710,20,8,20,8,346,0.565468,0.200000,0.150000,0.000000,0.050000,0.000000,0.000000,0.150000,0.450000,0.20000000000000000000,0.17021221532091097308,0.34104046242774566474
711,34,17,34,17,2179,0.788012,0.088235,0.058824,0.029412,0.058824,0.000000,0.058824,0.117647,0.588235,0.15220000000000000000,0.17001114799986980438,0.18632400183570445158
712,22,8,21,11,1302,0.627458,0.136364,0.000000,0.090909,0.090909,0.000000,0.045455,0.045455,0.590909,0.26090000000000000000,0.26953763828763828764,0.61981566820276497696
713,16,7,15,8,202,0.741174,0.125000,0.125000,0.187500,0.062500,0.000000,0.000000,0.187500,0.312500,0.28570000000000000000,0.16666666666666666667,0.44059405940594059406
715,7,3,7,3,49,0.475432,0.285714,0.000000,0.000000,0.142857,0.000000,0.000000,0.571429,0.000000,0.40000000000000000000,0.23750000000000000000,0.87755102040816326531
716,16,8,16,9,368,\N,0.250000,0.125000,0.062500,0.125000,0.000000,0.000000,0.125000,0.312500,0.25000000000000000000,0.15603174603174603175,0.24728260869565217391
717,18,10,18,10,251,0.751263,0.277778,0.055556,0.055556,0.166667,0.000000,0.000000,0.111111,0.333333,0.18750000000000000000,0.18665746491833448355,0.45019920318725099602
719,5,1,5,1,12,\N,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,1.00000000000000000000,0.44444444444444444444,1.00000000000000000000
720,28,7,28,7,1066,0.112417,0.035714,0.000000,0.071429,0.142857,0.000000,0.000000,0.214286,0.535714,0.27270000000000000000,0.10869565217391304348,0.95497185741088180113
722,42,17,41,16,3426,0.646860,0.095238,0.023810,0.000000,0.023810,0.000000,0.023810,0.071429,0.761905,0.33330000000000000000,0.24620459846087582662,0.25218914185639229422
723,21,7,21,7,825,0.939623,0.238095,0.047619,0.000000,0.047619,0.000000,0.000000,0.190476,0.476190,0.31580000000000000000,0.14180996472663139330,0.30060606060606060606
724,4,2,4,2,32,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.66670000000000000000,0.28125000000000000000,0.50000000000000000000
725,19,10,19,10,85,0.787127,0.210526,0.105263,0.052632,0.157895,0.000000,0.000000,0.105263,0.368421,0.16670000000000000000,0.19037145650048875855,0.17647058823529411765
726,33,17,33,16,1057,0.848821,0.151515,0.090909,0.000000,0.000000,0.000000,0.030303,0.090909,0.636364,0.17240000000000000000,0.13371598639455782313,0.17123935666982024598
727,31,16,31,16,1092,0.495522,0.096774,0.064516,0.096774,0.064516,0.000000,0.064516,0.032258,0.580645,0.14710000000000000000,0.13787039944888054326,0.30494505494505494505
728,14,8,14,8,295,0.364716,0.142857,0.071429,0.214286,0.142857,0.000000,0.000000,0.142857,0.285714,0.18180000000000000000,0.21069273975452465155,0.69491525423728813559
729,12,4,12,5,44,\N,0.333333,0.000000,0.000000,0.083333,0.000000,0.000000,0.416667,0.166667,0.37500000000000000000,0.19108485499462943072,0.36363636363636363636
731,9,5,9,5,156,0.736918,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.333333,0.33330000000000000000,0.26388888888888888889,0.38461538461538461538
734,4,1,4,1,8,0.811278,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,1.00000000000000000000,0.41666666666666666667,1.00000000000000000000
735,9,5,8,6,449,0.669056,0.333333,0.222222,0.000000,0.111111,0.000000,0.000000,0.111111,0.222222,0.33330000000000000000,0.33263305322128851541,0.35412026726057906459
736,26,13,25,11,1028,0.922737,0.076923,0.038462,0.115385,0.076923,0.038462,0.000000,0.038462,0.615385,0.26090000000000000000,0.22498845370749825992,0.36089494163424124514
737,34,11,34,10,327,\N,0.088235,0.058824,0.029412,0.029412,0.000000,0.000000,0.088235,0.705882,0.18750000000000000000,0.15834555229716520039,0.22935779816513761468
